id,name,url,image_url,group_name,sphere_name
121,"Наружное освещение «Нижнеудинской нефтеперекачивающей станции», ООО «Транснефть — Восток»",https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/naruzhnoe-osveshchenie-nizhneudinskoj-nefteperekachivayushchej-stancii-ooo-transneft-vostok,https://ladzavod.ru/storage/app/uploads/public/67a/dce/8c8/67adce8c8a2e8915861222.png,Производственные площадки и АКБ,Промышленное освещение
122,"Ремонт сетей освещения береговой линии наружное мачтовое освещение жилого вахтового городка, центральной проходной и градирни. АО «ГАЗПРОМНЕФТЬ- ЭНЕРГОСЕРВИС»Освещение парковки ТРК «Сити Молл»",https://ladzavod.ru/portfolio/neftegazovyj-kompleks-i-vzryvozashchishchennoe-oborudovanie/remont-setej-osveshcheniya-beregovoj-linii-naruzhnoe-machtovoe-osveshchenie-zhilogo-vahtovogo-gorodka-centralnoj-prohodnoj-i-gradirni-ao-gazpromneft-energoservisosveshchenie-parkovki-trk-siti-moll,https://ladzavod.ru/storage/app/uploads/public/67a/dce/a44/67adcea4429f5104888879.png,Нефтегазовый комплекс и взрывозащищенное оборудование,Взрывозащищенное оборудование
123,"Взрывозащищенное оборудование для цехов по производству керамических расклинивателей нефтяных скважин-пропантов, ООО «Форэс»",https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/vzryvozashchishchennoe-oborudovanie-dlya-cehov-po-proizvodstvu-keramicheskih-rasklinivatelej-neftyanyh-skvazhin-propantov-ooo-fores,https://ladzavod.ru/storage/app/uploads/public/67a/dce/b8c/67adceb8cf6a8401710157.png,Производственные площадки и АКБ,Промышленное освещение
124,Взрывозащищенное светодиодное оборудование для реконструкции промышленного корпуса №153 АОПО «Стрела»,https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/vzryvozashchishchennoe-svetodiodnoe-oborudovanie-dlya-rekonstrukcii-promyshlennogo-korpusa-153-aopo-strela,https://ladzavod.ru/storage/app/uploads/public/67a/dce/c57/67adcec57dc76905809712.png,Производственные площадки и АКБ,Промышленное освещение
125,Освещение нефтебазы №5 ООО «ЛУКОЙЛ- Нижневолжскнефтепродукт»,https://ladzavod.ru/portfolio/neftegazovyj-kompleks-i-vzryvozashchishchennoe-oborudovanie/osveshchenie-neftebazy-5-ooo-lukojl-nizhnevolzhsknefteprodukt,https://ladzavod.ru/storage/app/uploads/public/67a/dce/dce/67adcedce6b6f388942218.png,Нефтегазовый комплекс и взрывозащищенное оборудование,Взрывозащищенное оборудование
126,Склад кормов для молочно-товарного комплекса ООО «Румелко-Агро»,https://ladzavod.ru/portfolio/osveshchenie-skladskih-prostranstv/sklad-kormov-dlya-molochno-tovarnogo-kompleksa-ooo-rumelko-agro,https://ladzavod.ru/storage/app/uploads/public/67a/dcf/0c5/67adcf0c5ea19711195723.png,Освещение складских пространств,Складские помещения
127,Наружные сети электроснабжения автоматизированного складского комплекса для хранения мороженой рыбопродукции и морепродуктов,https://ladzavod.ru/portfolio/osveshchenie-skladskih-prostranstv/naruzhnye-seti-elektrosnabzheniya-avtomatizirovannogo-skladskogo-kompleksa-dlya-hraneniya-morozhenoj-ryboprodukcii-i-moreproduktov,https://ladzavod.ru/storage/app/uploads/public/67a/dcf/1fa/67adcf1fa4f75247750150.jpg,Освещение складских пространств,Складские помещения
128,Высокомощные светильники для строящегося терминально-логистического центра «Белый Раст»,https://ladzavod.ru/portfolio/osveshchenie-skladskih-prostranstv/vysokomoshchnye-svetilniki-dlya-stroyashchegosya-terminalno-logisticheskogo-centra-belyj-rast,https://ladzavod.ru/storage/app/uploads/public/67a/dcf/38c/67adcf38c6a98226275081.png,Освещение складских пространств,Складские помещения
129,"ООО «Фабрика Уральские пельмени», освещение складов",https://ladzavod.ru/portfolio/osveshchenie-skladskih-prostranstv/ooo-fabrika-uralskie-pelmeni-osveshchenie-skladov,https://ladzavod.ru/storage/app/uploads/public/67a/dcf/4ee/67adcf4ee4562282772310.png,Освещение складских пространств,Складские помещения
130,Освещение распределительного центра X5 Retail Group,https://ladzavod.ru/portfolio/osveshchenie-skladskih-prostranstv/osveshchenie-raspredelitelnogo-centra-x5-retail-group,https://ladzavod.ru/storage/app/uploads/public/67a/dcf/5fd/67adcf5fdfa2e299607961.png,Освещение складских пространств,Складские помещения
131,Освещение промышленных складов категории «А» ООО «СТ-Сторум»,https://ladzavod.ru/portfolio/osveshchenie-skladskih-prostranstv/osveshchenie-promyshlennyh-skladov-kategorii-a-ooo-st-storum,https://ladzavod.ru/storage/app/uploads/public/67a/dcf/7c6/67adcf7c6f97e266437398.png,Освещение складских пространств,Складские помещения
132,"Освещение строящегося логистического центра межрегионального торгово-оптового рынка, ООО «Панорама»",https://ladzavod.ru/portfolio/osveshchenie-skladskih-prostranstv/osveshchenie-stroyashchegosya-logisticheskogo-centra-mezhregionalnogo-torgovo-optovogo-rynka-ooo-panorama,https://ladzavod.ru/storage/app/uploads/public/67a/dcf/924/67adcf9240a75132471684.png,Освещение складских пространств,Складские помещения
133,Освещение территории международного багажного склада ОАО «Аэропорт Ростов-на-Дону»,https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/osveshchenie-territorii-mezhdunarodnogo-bagazhnogo-sklada-oao-aeroport-rostov-na-donu,https://ladzavod.ru/storage/app/uploads/public/67a/dcf/c8c/67adcfc8c1d4a198021586.png,Производственные площадки и АКБ,Промышленное освещение
134,Освещение склада готовой продукции АО Обувная фирма «Юничел»,https://ladzavod.ru/portfolio/osveshchenie-skladskih-prostranstv/osveshchenie-sklada-gotovoj-produkcii-ao-obuvnaya-firma-yunichel,https://ladzavod.ru/storage/app/uploads/public/67a/dcf/d96/67adcfd96f393154809367.png,Освещение складских пространств,Складские помещения
135,Освещение сборочно-складских помещений «А Плюс Парк Алабуга»,https://ladzavod.ru/portfolio/osveshchenie-skladskih-prostranstv/osveshchenie-sborochno-skladskih-pomeshchenij-a-plyus-park-alabuga,https://ladzavod.ru/storage/app/uploads/public/67a/dcf/f0c/67adcff0c6b2f431629432.png,Освещение складских пространств,Складские помещения
136,Освещение склада ООО «Алексеевский соевый комбинат» (ГК «ЭФКО»),https://ladzavod.ru/portfolio/osveshchenie-skladskih-prostranstv/osveshchenie-sklada-ooo-alekseevskij-soevyj-kombinat-gk-efko,https://ladzavod.ru/storage/app/uploads/public/67a/dd0/037/67add00377e90578464806.png,Освещение складских пространств,Складские помещения
137,Освещение склада хранения фруктов ООО «Воронежская фруктовая компания»,https://ladzavod.ru/portfolio/osveshchenie-skladskih-prostranstv/osveshchenie-sklada-hraneniya-fruktov-ooo-voronezhskaya-fruktovaya-kompaniya,https://ladzavod.ru/storage/app/uploads/public/67a/dd0/145/67add0145fc87047244850.png,Освещение складских пространств,Складские помещения
138,Освещение новых складов производства полимерных труб ООО «РосТурПласт»,https://ladzavod.ru/portfolio/osveshchenie-skladskih-prostranstv/osveshchenie-novyh-skladov-proizvodstva-polimernyh-trub-ooo-rosturplast,https://ladzavod.ru/storage/app/uploads/public/67a/dd0/2c2/67add02c292fb209714519.png,Освещение складских пространств,Складские помещения
