id,catalog_lamps_id,etm_code,oracl_code,short_box_name_wms,catalog_1c,box_name,description,comments,is_active,archived_at,created_at,updated_at
40,1309,LINE1159,1423238,LADLEDLO60S,60Лайн-О серебро,ДБП-60w IP66 7002Лм 5000К 120° O SILVER,Светильник светодиодный LAD LED LINE-O-60S 60Вт 5000К IP66 230В рассеиват. опал цвет корпуса серебро LADesign LADLEDLO60S,,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
41,1353,LINE1120,495271,LADLEDLOZ15,15Лайн-ОЗ,ДПО-15w IP65 1914Лм 5000К 120° O,Светильник светодиодный LAD LED LINE-OZ-15 15Вт 5000К IP65 230В рассеив. опал LADesign LADLEDLOZ15,,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
42,1301,LINE1190,1746676,LADLEDLOZ25,25Лайн-ОЗ,ДПО-25w IP65 3030Лм 5000К 120° O,Светильник светодиодный LAD LED LINE-OZ-25 25Вт 5000К IP65 230В рассеив. опал LADesign LADLEDLOZ25,"Болтаева;обычный светильник, его не было в базе РС",true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
43,1352,LINE1119,495272,LADLEDLOZ40,40Лайн-ОЗ,ДПO-40w IP65 5104Лм 5000К 120° O,Светильник светодиодный LAD LED LINE-OZ-40 40Вт 5000К IP65 230В рассеив. опал LADesign LADLEDLOZ40,,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
44,1351,LINE1167,1443901,LADLEDLOZ60,60Лайн-ОЗ,ДПО-60w IP65 7182Лм 5000К 120° O,Светильник светодиодный LAD LED LINE-OZ-60 60Вт 5000К IP65 230В рассеив. опал LADesign LADLEDLOZ60,спец;60Вт Шустиков,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
45,1350,LINE1118,1341477,LADLEDLOZ80,80Лайн-ОЗ,ДПО-80w IP65 10208Лм 5000К 120° O,Светильник светодиодный LAD LED LINE-OZ-80 80Вт 5000К IP65 230В LADesign LADLEDLOZ80,,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
46,1338,,,,,,,,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
47,1344,,,,,,,,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
48,1326,,,,,,,,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
49,1332,LINE1197,1578643,LADLEDLP25S,25Лайн-П серебро,ДБП-25w IP66 3063Лм 5000К 120° P SILVER,Светильник LAD LED LINE-P-25S LADesign LADLEDLP25S,стандарт,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
50,1314,,1674937,LADLEDLP40В,,,Светильник светодиодный LAD LED LINE-P-40B 40Вт 5000К IP65 230В рассеив. призма цвет корпуса черн. LADesign LADLEDLP40B,стандарт;сами заводили;НЕПРАВИЛЬНО ЗАВЕЛИ B - русская,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
51,1320,,,,,,,,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
52,1302,,,,,,,,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
53,1308,LINE1200,,LADLEDLР60S,60Лайн-П серебро,ДБП-60w IP66 7350Лм 5000К 120° P SILVER,,,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
54,1468,R3201174,,LADLED110G230АС30КEX,320-1-10Г-230АС-30 Ех консоль,ДКУ-35w IP66 4424Лм 5000К 10° Ex,,2006710,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
55,1464,R320E1158,,LADLED110G230АС30LEX,320-1-10Г-230АС-30 Ех лира,ДО-35w IP66 4424Лм 5000К 10° Ex,,3844808,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
